timestamp,sensor_id,sensor_type,location,value,unit,quality
2026-02-21T07:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T07:09:49.129964+00:00,HUM-N01,humidity,north_gate,65.65,percent,good
2026-02-21T07:09:49.129964+00:00,VIB-F01,vibration,foundation,0.17,mm_per_sec,good
2026-02-21T07:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,79.82,dBA,good
2026-02-21T07:09:49.129964+00:00,DUST-E01,pm25,entrance,9.09,ug_per_m3,good
2026-02-21T07:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T07:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T07:24:49.129964+00:00,HUM-N01,humidity,north_gate,40,percent,good
2026-02-21T07:24:49.129964+00:00,VIB-F01,vibration,foundation,0.1,mm_per_sec,good
2026-02-21T07:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,62.84,dBA,good
2026-02-21T07:24:49.129964+00:00,DUST-E01,pm25,entrance,25.01,ug_per_m3,good
2026-02-21T07:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T07:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T07:39:49.129964+00:00,HUM-N01,humidity,north_gate,72.71,percent,good
2026-02-21T07:39:49.129964+00:00,VIB-F01,vibration,foundation,0.07,mm_per_sec,good
2026-02-21T07:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,71.14,dBA,good
2026-02-21T07:39:49.129964+00:00,DUST-E01,pm25,entrance,15.65,ug_per_m3,good
2026-02-21T07:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T07:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T07:54:49.129964+00:00,HUM-N01,humidity,north_gate,69.58,percent,good
2026-02-21T07:54:49.129964+00:00,VIB-F01,vibration,foundation,0.18,mm_per_sec,good
2026-02-21T07:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,78.5,dBA,good
2026-02-21T07:54:49.129964+00:00,DUST-E01,pm25,entrance,21.83,ug_per_m3,good
2026-02-21T08:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T08:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T08:09:49.129964+00:00,HUM-N01,humidity,north_gate,52.95,percent,good
2026-02-21T08:09:49.129964+00:00,VIB-F01,vibration,foundation,0.19,mm_per_sec,good
2026-02-21T08:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,69.5,dBA,good
2026-02-21T08:09:49.129964+00:00,DUST-E01,pm25,entrance,36.69,ug_per_m3,good
2026-02-21T08:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T08:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T08:24:49.129964+00:00,HUM-N01,humidity,north_gate,71.53,percent,good
2026-02-21T08:24:49.129964+00:00,VIB-F01,vibration,foundation,0.26,mm_per_sec,good
2026-02-21T08:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,77.06,dBA,good
2026-02-21T08:24:49.129964+00:00,DUST-E01,pm25,entrance,24.69,ug_per_m3,good
2026-02-21T08:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T08:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T08:39:49.129964+00:00,HUM-N01,humidity,north_gate,40,percent,good
2026-02-21T08:39:49.129964+00:00,VIB-F01,vibration,foundation,0.11,mm_per_sec,good
2026-02-21T08:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,81.53,dBA,good
2026-02-21T08:39:49.129964+00:00,DUST-E01,pm25,entrance,6.45,ug_per_m3,good
2026-02-21T08:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T08:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T08:54:49.129964+00:00,HUM-N01,humidity,north_gate,55.27,percent,good
2026-02-21T08:54:49.129964+00:00,VIB-F01,vibration,foundation,0.21,mm_per_sec,good
2026-02-21T08:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,77.81,dBA,good
2026-02-21T08:54:49.129964+00:00,DUST-E01,pm25,entrance,36.57,ug_per_m3,good
2026-02-21T09:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T09:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T09:09:49.129964+00:00,HUM-N01,humidity,north_gate,51.57,percent,good
2026-02-21T09:09:49.129964+00:00,VIB-F01,vibration,foundation,0.08,mm_per_sec,good
2026-02-21T09:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,81.52,dBA,good
2026-02-21T09:09:49.129964+00:00,DUST-E01,pm25,entrance,13.47,ug_per_m3,good
2026-02-21T09:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T09:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T09:24:49.129964+00:00,HUM-N01,humidity,north_gate,49.15,percent,good
2026-02-21T09:24:49.129964+00:00,VIB-F01,vibration,foundation,0.13,mm_per_sec,good
2026-02-21T09:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,55,dBA,good
2026-02-21T09:24:49.129964+00:00,DUST-E01,pm25,entrance,9.34,ug_per_m3,good
2026-02-21T09:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T09:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T09:39:49.129964+00:00,HUM-N01,humidity,north_gate,77.9,percent,good
2026-02-21T09:39:49.129964+00:00,VIB-F01,vibration,foundation,0.15,mm_per_sec,good
2026-02-21T09:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,74.61,dBA,good
2026-02-21T09:39:49.129964+00:00,DUST-E01,pm25,entrance,19.34,ug_per_m3,good
2026-02-21T09:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T09:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T09:54:49.129964+00:00,HUM-N01,humidity,north_gate,64.11,percent,good
2026-02-21T09:54:49.129964+00:00,VIB-F01,vibration,foundation,0.07,mm_per_sec,good
2026-02-21T09:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,81.03,dBA,good
2026-02-21T09:54:49.129964+00:00,DUST-E01,pm25,entrance,21.05,ug_per_m3,good
2026-02-21T10:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T10:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T10:09:49.129964+00:00,HUM-N01,humidity,north_gate,85,percent,good
2026-02-21T10:09:49.129964+00:00,VIB-F01,vibration,foundation,0.12,mm_per_sec,good
2026-02-21T10:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,87.93,dBA,good
2026-02-21T10:09:49.129964+00:00,DUST-E01,pm25,entrance,18.92,ug_per_m3,good
2026-02-21T10:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T10:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T10:24:49.129964+00:00,HUM-N01,humidity,north_gate,57.73,percent,good
2026-02-21T10:24:49.129964+00:00,VIB-F01,vibration,foundation,0.26,mm_per_sec,good
2026-02-21T10:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,80.16,dBA,good
2026-02-21T10:24:49.129964+00:00,DUST-E01,pm25,entrance,23.51,ug_per_m3,good
2026-02-21T10:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T10:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T10:39:49.129964+00:00,HUM-N01,humidity,north_gate,68.34,percent,good
2026-02-21T10:39:49.129964+00:00,VIB-F01,vibration,foundation,0.11,mm_per_sec,good
2026-02-21T10:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,65.73,dBA,good
2026-02-21T10:39:49.129964+00:00,DUST-E01,pm25,entrance,17.98,ug_per_m3,good
2026-02-21T10:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T10:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T10:54:49.129964+00:00,HUM-N01,humidity,north_gate,53.58,percent,good
2026-02-21T10:54:49.129964+00:00,VIB-F01,vibration,foundation,0.26,mm_per_sec,good
2026-02-21T10:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,67.54,dBA,good
2026-02-21T10:54:49.129964+00:00,DUST-E01,pm25,entrance,15.09,ug_per_m3,good
2026-02-21T11:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T11:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T11:09:49.129964+00:00,HUM-N01,humidity,north_gate,63.3,percent,good
2026-02-21T11:09:49.129964+00:00,VIB-F01,vibration,foundation,0.05,mm_per_sec,good
2026-02-21T11:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,80.85,dBA,good
2026-02-21T11:09:49.129964+00:00,DUST-E01,pm25,entrance,18.03,ug_per_m3,good
2026-02-21T11:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T11:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T11:24:49.129964+00:00,HUM-N01,humidity,north_gate,80.49,percent,good
2026-02-21T11:24:49.129964+00:00,VIB-F01,vibration,foundation,0.05,mm_per_sec,good
2026-02-21T11:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,70.78,dBA,good
2026-02-21T11:24:49.129964+00:00,DUST-E01,pm25,entrance,20.59,ug_per_m3,good
2026-02-21T11:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T11:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T11:39:49.129964+00:00,HUM-N01,humidity,north_gate,74.86,percent,good
2026-02-21T11:39:49.129964+00:00,VIB-F01,vibration,foundation,0.2,mm_per_sec,good
2026-02-21T11:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,87.34,dBA,good
2026-02-21T11:39:49.129964+00:00,DUST-E01,pm25,entrance,23.7,ug_per_m3,good
2026-02-21T11:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T11:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T11:54:49.129964+00:00,HUM-N01,humidity,north_gate,41.28,percent,good
2026-02-21T11:54:49.129964+00:00,VIB-F01,vibration,foundation,0.17,mm_per_sec,good
2026-02-21T11:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,70.08,dBA,good
2026-02-21T11:54:49.129964+00:00,DUST-E01,pm25,entrance,34.16,ug_per_m3,good
2026-02-21T12:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T12:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T12:09:49.129964+00:00,HUM-N01,humidity,north_gate,40,percent,good
2026-02-21T12:09:49.129964+00:00,VIB-F01,vibration,foundation,0.12,mm_per_sec,good
2026-02-21T12:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,74.61,dBA,good
2026-02-21T12:09:49.129964+00:00,DUST-E01,pm25,entrance,24.59,ug_per_m3,good
2026-02-21T12:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T12:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T12:24:49.129964+00:00,HUM-N01,humidity,north_gate,43.24,percent,good
2026-02-21T12:24:49.129964+00:00,VIB-F01,vibration,foundation,0.19,mm_per_sec,good
2026-02-21T12:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,77.17,dBA,good
2026-02-21T12:24:49.129964+00:00,DUST-E01,pm25,entrance,21.93,ug_per_m3,good
2026-02-21T12:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T12:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T12:39:49.129964+00:00,HUM-N01,humidity,north_gate,61.32,percent,good
2026-02-21T12:39:49.129964+00:00,VIB-F01,vibration,foundation,0.21,mm_per_sec,good
2026-02-21T12:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,84.74,dBA,good
2026-02-21T12:39:49.129964+00:00,DUST-E01,pm25,entrance,22.87,ug_per_m3,good
2026-02-21T12:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T12:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T12:54:49.129964+00:00,HUM-N01,humidity,north_gate,63.66,percent,good
2026-02-21T12:54:49.129964+00:00,VIB-F01,vibration,foundation,0.13,mm_per_sec,good
2026-02-21T12:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,73.12,dBA,good
2026-02-21T12:54:49.129964+00:00,DUST-E01,pm25,entrance,29.86,ug_per_m3,good
2026-02-21T13:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T13:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T13:09:49.129964+00:00,HUM-N01,humidity,north_gate,77.94,percent,good
2026-02-21T13:09:49.129964+00:00,VIB-F01,vibration,foundation,0.11,mm_per_sec,good
2026-02-21T13:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,55,dBA,good
2026-02-21T13:09:49.129964+00:00,DUST-E01,pm25,entrance,20.4,ug_per_m3,good
2026-02-21T13:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T13:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T13:24:49.129964+00:00,HUM-N01,humidity,north_gate,73.07,percent,good
2026-02-21T13:24:49.129964+00:00,VIB-F01,vibration,foundation,0.2,mm_per_sec,good
2026-02-21T13:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,62.05,dBA,good
2026-02-21T13:24:49.129964+00:00,DUST-E01,pm25,entrance,22.15,ug_per_m3,good
2026-02-21T13:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T13:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T13:39:49.129964+00:00,HUM-N01,humidity,north_gate,66.79,percent,good
2026-02-21T13:39:49.129964+00:00,VIB-F01,vibration,foundation,0.15,mm_per_sec,good
2026-02-21T13:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,64.55,dBA,good
2026-02-21T13:39:49.129964+00:00,DUST-E01,pm25,entrance,22.18,ug_per_m3,good
2026-02-21T13:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T13:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T13:54:49.129964+00:00,HUM-N01,humidity,north_gate,66.01,percent,good
2026-02-21T13:54:49.129964+00:00,VIB-F01,vibration,foundation,0.23,mm_per_sec,good
2026-02-21T13:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,64.87,dBA,good
2026-02-21T13:54:49.129964+00:00,DUST-E01,pm25,entrance,21.05,ug_per_m3,good
2026-02-21T14:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T14:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T14:09:49.129964+00:00,HUM-N01,humidity,north_gate,40,percent,good
2026-02-21T14:09:49.129964+00:00,VIB-F01,vibration,foundation,0.21,mm_per_sec,good
2026-02-21T14:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,68.94,dBA,good
2026-02-21T14:09:49.129964+00:00,DUST-E01,pm25,entrance,17.2,ug_per_m3,good
2026-02-21T14:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T14:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T14:24:49.129964+00:00,HUM-N01,humidity,north_gate,85,percent,good
2026-02-21T14:24:49.129964+00:00,VIB-F01,vibration,foundation,0.11,mm_per_sec,good
2026-02-21T14:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,75.51,dBA,good
2026-02-21T14:24:49.129964+00:00,DUST-E01,pm25,entrance,14.07,ug_per_m3,good
2026-02-21T14:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T14:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T14:39:49.129964+00:00,HUM-N01,humidity,north_gate,55.76,percent,good
2026-02-21T14:39:49.129964+00:00,VIB-F01,vibration,foundation,0.17,mm_per_sec,good
2026-02-21T14:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,55,dBA,good
2026-02-21T14:39:49.129964+00:00,DUST-E01,pm25,entrance,34.02,ug_per_m3,good
2026-02-21T14:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T14:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T14:54:49.129964+00:00,HUM-N01,humidity,north_gate,44.89,percent,good
2026-02-21T14:54:49.129964+00:00,VIB-F01,vibration,foundation,0.17,mm_per_sec,good
2026-02-21T14:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,95,dBA,good
2026-02-21T14:54:49.129964+00:00,DUST-E01,pm25,entrance,11.04,ug_per_m3,good
2026-02-21T15:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T15:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T15:09:49.129964+00:00,HUM-N01,humidity,north_gate,67.09,percent,good
2026-02-21T15:09:49.129964+00:00,VIB-F01,vibration,foundation,0.21,mm_per_sec,good
2026-02-21T15:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,84.9,dBA,good
2026-02-21T15:09:49.129964+00:00,DUST-E01,pm25,entrance,15.94,ug_per_m3,good
2026-02-21T15:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T15:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T15:24:49.129964+00:00,HUM-N01,humidity,north_gate,78.6,percent,good
2026-02-21T15:24:49.129964+00:00,VIB-F01,vibration,foundation,0.19,mm_per_sec,good
2026-02-21T15:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,55,dBA,good
2026-02-21T15:24:49.129964+00:00,DUST-E01,pm25,entrance,17.72,ug_per_m3,good
2026-02-21T15:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T15:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T15:39:49.129964+00:00,HUM-N01,humidity,north_gate,68.43,percent,good
2026-02-21T15:39:49.129964+00:00,VIB-F01,vibration,foundation,0.17,mm_per_sec,good
2026-02-21T15:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,59.6,dBA,good
2026-02-21T15:39:49.129964+00:00,DUST-E01,pm25,entrance,11.25,ug_per_m3,good
2026-02-21T15:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T15:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T15:54:49.129964+00:00,HUM-N01,humidity,north_gate,68.7,percent,good
2026-02-21T15:54:49.129964+00:00,VIB-F01,vibration,foundation,0.11,mm_per_sec,good
2026-02-21T15:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,60.48,dBA,good
2026-02-21T15:54:49.129964+00:00,DUST-E01,pm25,entrance,11.78,ug_per_m3,good
2026-02-21T16:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T16:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T16:09:49.129964+00:00,HUM-N01,humidity,north_gate,40,percent,good
2026-02-21T16:09:49.129964+00:00,VIB-F01,vibration,foundation,0.12,mm_per_sec,good
2026-02-21T16:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,76.5,dBA,good
2026-02-21T16:09:49.129964+00:00,DUST-E01,pm25,entrance,30.18,ug_per_m3,good
2026-02-21T16:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T16:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T16:24:49.129964+00:00,HUM-N01,humidity,north_gate,54.01,percent,good
2026-02-21T16:24:49.129964+00:00,VIB-F01,vibration,foundation,0.09,mm_per_sec,good
2026-02-21T16:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,65.26,dBA,good
2026-02-21T16:24:49.129964+00:00,DUST-E01,pm25,entrance,30.22,ug_per_m3,good
2026-02-21T16:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T16:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T16:39:49.129964+00:00,HUM-N01,humidity,north_gate,85,percent,good
2026-02-21T16:39:49.129964+00:00,VIB-F01,vibration,foundation,0.15,mm_per_sec,good
2026-02-21T16:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,78.2,dBA,good
2026-02-21T16:39:49.129964+00:00,DUST-E01,pm25,entrance,20.46,ug_per_m3,good
2026-02-21T16:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T16:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T16:54:49.129964+00:00,HUM-N01,humidity,north_gate,82.6,percent,good
2026-02-21T16:54:49.129964+00:00,VIB-F01,vibration,foundation,0.04,mm_per_sec,good
2026-02-21T16:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,68.0,dBA,good
2026-02-21T16:54:49.129964+00:00,DUST-E01,pm25,entrance,21.43,ug_per_m3,good
2026-02-21T17:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T17:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T17:09:49.129964+00:00,HUM-N01,humidity,north_gate,40,percent,good
2026-02-21T17:09:49.129964+00:00,VIB-F01,vibration,foundation,0.01,mm_per_sec,good
2026-02-21T17:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,71.29,dBA,good
2026-02-21T17:09:49.129964+00:00,DUST-E01,pm25,entrance,17.17,ug_per_m3,good
2026-02-21T17:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T17:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T17:24:49.129964+00:00,HUM-N01,humidity,north_gate,41.64,percent,good
2026-02-21T17:24:49.129964+00:00,VIB-F01,vibration,foundation,0.01,mm_per_sec,good
2026-02-21T17:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,75.29,dBA,good
2026-02-21T17:24:49.129964+00:00,DUST-E01,pm25,entrance,20.96,ug_per_m3,good
2026-02-21T17:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T17:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T17:39:49.129964+00:00,HUM-N01,humidity,north_gate,57.14,percent,good
2026-02-21T17:39:49.129964+00:00,VIB-F01,vibration,foundation,0.26,mm_per_sec,good
2026-02-21T17:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,70.64,dBA,good
2026-02-21T17:39:49.129964+00:00,DUST-E01,pm25,entrance,12.71,ug_per_m3,good
2026-02-21T17:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T17:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T17:54:49.129964+00:00,HUM-N01,humidity,north_gate,40,percent,good
2026-02-21T17:54:49.129964+00:00,VIB-F01,vibration,foundation,0.16,mm_per_sec,good
2026-02-21T17:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,74.5,dBA,good
2026-02-21T17:54:49.129964+00:00,DUST-E01,pm25,entrance,15.1,ug_per_m3,good
2026-02-21T18:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T18:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T18:09:49.129964+00:00,HUM-N01,humidity,north_gate,85,percent,good
2026-02-21T18:09:49.129964+00:00,VIB-F01,vibration,foundation,0.15,mm_per_sec,good
2026-02-21T18:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,66.92,dBA,good
2026-02-21T18:09:49.129964+00:00,DUST-E01,pm25,entrance,13.27,ug_per_m3,good
2026-02-21T18:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T18:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T18:24:49.129964+00:00,HUM-N01,humidity,north_gate,58.12,percent,good
2026-02-21T18:24:49.129964+00:00,VIB-F01,vibration,foundation,0.15,mm_per_sec,good
